Dataset,Seed,Split,Class,Count
mitbih,19,train,N,6563
mitbih,19,train,S,1076
mitbih,19,train,V,2666
mitbih,19,train,F,258
mitbih,19,train,Q,415
mitbih,19,test,N,2699
mitbih,19,test,S,331
mitbih,19,test,V,996
mitbih,19,test,F,210
mitbih,19,test,Q,400
mitbih,88,train,N,6462
mitbih,88,train,S,866
mitbih,88,train,V,2897
mitbih,88,train,F,64
mitbih,88,train,Q,613
mitbih,88,test,N,2800
mitbih,88,test,S,541
mitbih,88,test,V,765
mitbih,88,test,F,404
mitbih,88,test,Q,202
mitbih,123,train,N,6363
mitbih,123,train,S,1108
mitbih,123,train,V,2351
mitbih,123,train,F,449
mitbih,123,train,Q,604
mitbih,123,test,N,2899
mitbih,123,test,S,299
mitbih,123,test,V,1311
mitbih,123,test,F,19
mitbih,123,test,Q,211
svdb,19,train,N,10800
svdb,19,train,S,4321
svdb,19,train,V,4439
svdb,19,test,N,4800
svdb,19,test,S,2523
svdb,19,test,V,1904
svdb,88,train,N,10800
svdb,88,train,S,4971
svdb,88,train,V,4750
svdb,88,test,N,4800
svdb,88,test,S,1873
svdb,88,test,V,1593
svdb,123,train,N,10800
svdb,123,train,S,4539
svdb,123,train,V,4261
svdb,123,test,N,4800
svdb,123,test,S,2305
svdb,123,test,V,2082
